,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
267,18031,0,0,373,0,31,812,1863,390,265,75,2,0,14,28,18,91500,11390,286,50,1283,11360,437008,1278,7978,0,0,0,2,20,15,1420,114,0,101228,6984,11000.0
268,18842,526,25,1516,0,21,2076,1038,476,476,93,2,1,6,1,95,252625,19969,277,54,6794,72210,430528,4374,26079,10915,9360,520385,60,60,48,4345,117,0,231642,17892,33610.0
269,41790,1537,0,1671,32149,46,2161,0,215,453,70,8,3,8,2,0,360720,32000,296,9,194,30000,143633,3413,13533,0,8880,473825,0,0,53,2704,1143,2640,323717,35387,25994.0
270,24458,1255,19,1014,0,20,3544,9957,2443,1223,80,0,2,20,1,2,647399,34400,185,70,6229,11992,125383,1059,4310,253,6240,0,21,327,32,1042,43,0,2222041,31899,26057.0
271,80867,0,16,2628,0,10,2604,0,2010,1215,249,8,0,10,2,3,329954,26064,276,74,6438,10785,116726,1937,6904,5,0,35000,1,12,3,185,284,3415,334509,36599,43600.0
272,44378,1762,0,0,0,73,4510,899,3715,2099,218,15,3,10,4,14,695230,62838,328,81,6302,85890,215575,5567,126369,4466,9840,79731,2,47,16,3996,190,8500,596754,54000,68550.0
273,254062,15014,362,7370,3199,251,4656,14,2366,2692,192,18,5,40,4,579,2144277,221846,283,78,72993,304971,262069,213812,359389,2349,153,237302,10,230,75,4431,2680,26833,1976288,232657,239471.0
274,36830,978,0,1255,344,67,49352,0,41789,2378,250,13,4,18,10,5,844809,108983,279,54,3722,89417,518272,61369,188093,8690,72,40364,0,0,48,4104,2020,9100,840228,116403,113449.0
275,14585,104,190,4967,32399,141,9253,919,2671,2078,418,15,3,3,4,577,247732,26500,300,56,8429,62753,156972,3207,5796,0,2,165572,1,15,13,1616,1087,10768,175647,40000,34542.0
276,65752,3353,0,778,210439,112,12871,349,20322,3382,341,19,7,11,11,39,973166,136038,319,74,9537,194218,1077508,19104,196319,7358,400,304129,0,0,83,7946,541,5611,1110371,173284,125330.0
277,31271,6206,0,634,0,24,2975,2360,578,274,20,2,0,6,4,0,270988,18528,294,66,6806,79652,122499,16853,78957,4877,0,462288,0,0,33,1315,18,2000,183100,13512,42251.0
278,121879,5690,285,5103,5629,119,14208,22320,4720,6065,754,84,7,68,5,81,809435,72741,307,78,27444,100462,733798,0,88125,80,0,224654,0,0,13,4939,1379,0,728308,74380,54835.0
279,112982,4186,174,3180,5629,102,4974,4553,3000,5454,764,34,3,8,7,79,840277,72742,307,78,29263,119150,733798,34058,120698,17353,60,3333813,0,0,15,644,880,0,1002252,77533,59442.0
280,128829,5583,343,6103,5629,120,4735,773,3920,4010,653,28,1,12,16,873,1246421,84742,307,78,52013,238794,733798,86881,231025,53117,0,326839,0,0,20,841,12127,16262,1117088,85688,87455.0
